order_id,order_date,customer_id,customer_region,product_category,product_price,quantity,discount_percent,payment_method,order_status,revenue
100000,2023-04-13,1567,north,,43.84,1,15,Debit Card,Cancelled,37.264
100001,2023-12-15,1059,,Electronics,233.44,4,5,Debit Card,Delivered,656.3203156640228
100002,2023-09-28,1038,West,Electronics,942.15,4,20,,Delivered,3014.88
100003,2023-04-17,1539,West,Home,115.06,2,0,,In Transit,230.12
100004,2023-03-13,1048,SOUTH,Clothng,288.6,2,-5,credit card,In Transit,606.0600000000001
100005,2023-07-08,1419,South,,510.09,3,20,Debit Card,Delivered,1224.2160000000001
100006,2023-01-21,1012,West,Electronics,121.42,7,15,,delivered,722.4490000000001
100007,2023-04-13,1035,East,Electronics,291.59,3,20,COD,In Transit,699.816
100008,2023-05-02,1100,East,,1367.35,6,5,UPI,Cancelled,7793.894999999999
100009,2023-08-03,1085,South,Clothing,33.85,7,10,credit card,Delivered,213.25500000000002
100010,2023-11-27,1515,North,,981.88,4,10,credit card,Returned,3534.768
100011,2023-03-29,1222,,Electronics,579.69,0,0,Credit Card,Returned,0.0
100012,2023-04-10,1337,North,Clothng,1010.61,5,10,Debit Card,delivered,4547.745
100013,2023-12-26,1165,East,Clothing,885.09,3,0,credit card,Delivered,2655.27
100014,2023-06-01,1382,West,electronics,339.13,4,5,credit card,Cancelled,1288.694
100015,2023-05-11,1375,South,,1271.58,4,0,,delivered,5086.32
100016,2023-05-30,1470,North,electronics,740.45,5,0,COD,Cancelled,3702.25
100017,2023-11-05,1030,North,Clothing,1234.69,4,0,Debit Card,Returned,4938.76
100018,2023-09-15,1374,,Clothing,611.99,5,20,UPI,Cancelled,2447.96
100019,2023-12-10,1010,north,Clothing,1477.1,5,0,COD,Returned,7385.5
100020,2023-10-21,1301,East,Home,1156.88,6,15,UPI,In Transit,5900.088000000001
100021,2023-07-11,1095,West,,1449.1,4,0,Credit Card,Returned,5796.4
100022,2023-10-04,1189,South,Clothng,773.92,6,5,credit card,Returned,4411.343999999999
100023,2023-06-10,1452,North,Clothng,713.17,4,0,,delivered,2852.68
100024,2023-11-10,1191,,electronics,1134.4,2,0,COD,delivered,2268.8
100025,2023-01-22,1485,north,electronics,1321.04,5,10,UPI,Delivered,5944.68
100026,2023-09-10,1265,East,electronics,1446.4,1,10,Debit Card,Delivered,1301.7600000000002
100027,2023-08-24,1423,East,,490.21,5,0,Credit Card,Returned,2451.0499999999997
100028,2023-12-11,1127,,Electronics,1199.06,1,5,Credit Card,In Transit,1139.107
100029,2023-02-18,1237,South,electronics,319.92,4,20,credit card,Delivered,1023.7440000000001
100030,2023-02-28,1354,North,Clothing,820.63,3,0,credit card,Returned,2461.89
100031,2023-06-19,1111,South,electronics,273.87,0,0,UPI,delivered,0.0
100032,2023-07-07,1445,,Clothing,524.36,6,10,UPI,Delivered,2831.544
100033,2023-09-28,1342,,Home,1397.38,4,0,Credit Card,Delivered,5589.52
100034,2023-07-09,1144,South,Electronics,223.41,0,105,UPI,Returned,-0.0
100035,2023-06-24,1064,SOUTH,Electronics,950.44,2,10,credit card,Returned,1710.7920000000001
100036,2023-02-20,1246,north,,891.47,1,5,Credit Card,Cancelled,846.8965
100037,2023-12-30,1489,East,,185.5,6,5,Credit Card,Cancelled,1057.35
100038,2023-02-24,1438,SOUTH,Clothng,492.34,2,10,Debit Card,In Transit,886.212
100039,2023-09-01,1105,West,Home,846.66,3,0,Debit Card,Delivered,2539.98
100040,2023-11-16,1180,East,,284.83,3,-5,UPI,Cancelled,590.4960139116607
100041,2023-05-11,1183,East,Clothing,1201.93,5,10,UPI,Returned,5408.685
100042,2023-11-03,1225,north,Home,1458.37,6,0,credit card,Delivered,8750.22
100043,2023-05-15,1088,West,Electronics,326.07,6,10,credit card,Cancelled,1760.778
100044,2023-01-21,1529,North,Clothing,284.43,6,0,Debit Card,In Transit,1706.58
100045,2023-11-25,1370,West,Home,685.13,4,0,Credit Card,In Transit,2740.52
100046,2023-06-16,1398,North,Electronics,1122.91,7,10,COD,In Transit,7074.3330000000005
100047,2023-10-01,1105,West,,425.99,7,10,,In Transit,2683.7370000000005
100048,2023-03-30,1270,South,Clothing,34.72,5,10,,Returned,156.24
100049,2023-11-12,1502,,Clothing,814.12,3,0,COD,In Transit,2442.36
100050,2023-01-14,1524,West,Electronics,1435.12,3,10,UPI,delivered,3874.8239999999996
100051,2023-08-30,1031,SOUTH,Clothing,589.96,5,0,,In Transit,2949.8
100052,2023-09-22,1392,SOUTH,,633.1,2,10,,Cancelled,1903.3003497702255
100053,2023-12-12,1039,north,,1453.51,0,10,COD,Delivered,0.0
100054,2023-02-22,1217,,,1043.44,1,10,COD,Cancelled,939.0960000000001
100055,2023-12-06,1081,,Electronics,1080.16,3,20,Debit Card,Delivered,2592.3840000000005
100056,2023-04-02,1200,North,electronics,846.24,5,20,Credit Card,Returned,3384.96
100057,2023-09-21,1446,East,electronics,1462.04,3,105,credit card,Delivered,-219.30600000000018
100058,2023-02-04,1427,north,Clothing,1034.86,2,105,Debit Card,delivered,-103.48600000000008
100059,2023-07-25,1037,SOUTH,,1343.07,6,15,,In Transit,6849.657
100060,2023-03-22,1210,SOUTH,Clothing,1050.57,6,105,credit card,Cancelled,-315.1710000000003
100061,2023-02-19,1443,North,Electronics,1104.0,7,20,Debit Card,Delivered,6182.400000000001
100062,2023-12-26,1326,SOUTH,Clothing,439.16,1,15,Debit Card,Cancelled,373.286
100063,2023-01-02,1226,SOUTH,Clothng,458.7,7,0,COD,In Transit,3210.9
100064,2023-02-23,1047,North,electronics,1175.56,6,0,credit card,Returned,7053.36
100065,2023-04-16,1017,SOUTH,Clothing,448.58,6,20,Debit Card,In Transit,2153.184
100066,2023-09-17,1438,East,Clothing,846.34,2,5,COD,Returned,1608.046
100067,2023-11-06,1186,South,Home,377.78,7,20,UPI,Cancelled,2115.568
100068,2023-07-10,1344,north,Clothing,1226.39,0,0,credit card,Returned,0.0
100069,2023-08-06,1223,East,Clothng,170.2,2,0,Debit Card,Returned,340.4
100070,2023-02-13,1487,East,electronics,1245.02,1,15,,Returned,1058.267
100071,2023-06-11,1228,South,Home,906.08,6,-5,UPI,Returned,5708.304000000001
100072,2023-07-21,1389,,Electronics,284.43,7,0,COD,Returned,1991.01
100073,2023-09-27,1588,north,Electronics,815.34,1,20,Debit Card,Delivered,652.272
100074,2023-12-17,1187,East,electronics,427.34,3,15,,Returned,1089.7169999999999
100075,2023-10-31,1269,SOUTH,Electronics,488.58,0,0,COD,Returned,0.0
100076,2023-09-28,1309,South,Clothng,530.53,4,0,COD,In Transit,2122.12
100077,2023-08-03,1131,,Clothing,99.66,3,0,,In Transit,298.98
100078,2023-09-09,1550,north,electronics,1479.01,6,0,COD,In Transit,8874.06
100079,2023-07-09,1071,West,Home,52.14,5,5,credit card,Returned,247.66499999999996
100080,2023-10-23,1186,North,Clothing,995.43,2,0,UPI,In Transit,1990.86
100081,2023-08-01,1485,SOUTH,Electronics,559.99,7,0,UPI,Delivered,3919.9300000000003
100082,2023-07-27,1190,South,Electronics,970.79,7,20,Credit Card,Cancelled,5436.424
100083,2023-08-25,1421,North,Home,537.59,2,10,Debit Card,In Transit,967.662
100084,2023-12-04,1119,,Clothng,1012.26,1,10,COD,In Transit,911.034
100085,2023-02-22,1219,,Home,1095.21,5,0,Debit Card,Delivered,5476.05
100086,2023-10-07,1052,West,electronics,1037.38,1,20,UPI,delivered,829.9040000000001
100087,2023-08-05,1450,East,Home,175.37,5,20,UPI,delivered,701.48
100088,2023-09-09,1411,East,Electronics,987.06,1,5,COD,Delivered,937.7069999999999
100089,2023-07-07,1236,north,Clothng,423.58,4,-5,credit card,In Transit,1779.036
100090,2023-02-10,1405,South,Clothng,48.06,4,20,,Cancelled,153.79200000000003
100091,2023-06-06,1421,South,,625.17,3,15,COD,In Transit,1594.1834999999999
100092,2023-01-15,1246,,Home,653.15,4,15,COD,Delivered,2220.71
100093,2023-10-28,1071,north,electronics,703.43,5,0,Credit Card,Delivered,3517.1499999999996
100094,2023-03-06,1184,North,Electronics,1058.71,1,0,,Returned,413.75718380002724
100095,2023-12-11,1005,East,Clothing,466.72,5,0,credit card,Delivered,2333.6000000000004
100096,2023-11-23,1205,East,Clothng,476.34,3,0,Debit Card,Returned,1429.02
100097,2023-01-09,1543,,Home,95.53,3,0,,Delivered,286.59000000000003
100098,2023-12-10,1386,South,,1031.8,6,20,credit card,Returned,4952.639999999999
100099,2023-05-09,1075,,electronics,853.9,0,0,COD,Returned,0.0
100100,2023-05-16,1176,South,electronics,527.39,4,105,COD,In Transit,-105.4780000000001
100101,2023-03-04,1348,north,Electronics,1059.26,2,10,COD,Returned,1906.6680000000001
100102,2023-05-19,1254,West,Clothng,808.35,2,0,COD,delivered,1616.7
100103,2023-03-22,1307,North,Electronics,706.52,0,5,COD,Delivered,0.0
100104,2023-06-12,1344,SOUTH,,769.43,1,0,,Cancelled,769.43
100105,2023-10-16,1126,West,Clothing,956.34,0,105,,Delivered,-0.0
100106,2023-09-18,1286,West,Clothing,991.7,1,20,,In Transit,793.3600000000001
