date,temperature
2026-01-01,20.75
2026-01-02,20.83
2026-01-03,23.04
2026-01-04,
2026-01-05,
2026-01-06,24.82
2026-01-07,28.58
2026-01-08,28.39
2026-01-09,27.57
2026-01-10,30.12
2026-01-11,29.65
2026-01-12,
2026-01-13,32.78
2026-01-14,30.58
2026-01-15,31.9
2026-01-16,34.67
2026-01-17,35.03
2026-01-18,38.06
2026-01-19,37.26
2026-01-20,
2026-01-21,42.89
2026-01-22,41.39
2026-01-23,42.86
2026-01-24,41.66
2026-01-25,
2026-01-26,46.03
2026-01-27,45.17
2026-01-28,48.49
2026-01-29,48.06
2026-01-30,49.56
