income,credit_score,debt_to_income,employment_duration,housing_status,loan_amount,is_default
57450,330,0.37306297618446727,0.54,Mortgage,19110.21,0
47926,427,0.2874705731763235,1.54,Own,6676.08,0
59715,593,0.21145558941483197,8.48,Own,9511.77,0
72845,740,0.5196180740568812,3.51,Mortgage,15031.08,0
46487,687,0.3379157975006456,11.93,Mortgage,14856.23,0
46487,823,0.5236578705954497,0.46,Own,15941.1,0
73688,846,0.3370157911844601,1.88,Mortgage,26034.41,0
61511,409,0.378398848856204,2.2,Rent,15423.07,0
42957,627,0.5976401206569775,2.75,Own,12113.17,0
58138,704,0.5757521060175799,21.65,Mortgage,11794.29,0
43048,544,0.23584493533344533,1.86,Rent,12719.5,0
43014,462,0.5343276932246109,3.66,Mortgage,8931.5,0
53629,698,0.2952017418485966,3.84,Mortgage,17800.28,0
21300,698,0.1356243689551964,7.37,Mortgage,16508.51,0
24126,792,0.38789050741270015,3.65,Rent,17333.82,0
41565,538,0.5885259297271177,4.65,Rent,19003.41,0
34807,764,0.5871568435026426,7.0,Own,18096.35,0
54713,331,0.16323268908123403,0.53,Mortgage,8092.64,0
36379,422,0.4856183333089249,16.55,Mortgage,13593.86,1
28815,833,0.5014165221251037,9.36,Rent,13799.79,0
71984,409,0.28437239215833,2.46,Mortgage,21886.29,0
46613,570,0.42929759059423567,6.52,Mortgage,22325.55,0
51012,679,0.3440797391386109,7.18,Mortgage,12869.9,0
28628,599,0.21394654885496336,9.49,Rent,10043.6,0
41834,548,0.4806321406124938,1.04,Mortgage,15792.64,0
51663,820,0.23137635390620656,6.08,Mortgage,13406.44,0
32735,333,0.2702238765208296,0.17,Own,14582.2,1
55635,527,0.19500920245773054,0.61,Mortgage,21078.01,0
40990,698,0.4596356518943522,7.48,Rent,16344.38,0
45624,519,0.3293620269152897,8.38,Rent,12600.75,0
40974,670,0.32168662741946663,4.49,Mortgage,11705.82,0
77784,827,0.40228143344500633,4.36,Own,7819.85,0
49797,374,0.17863172362366866,6.92,Mortgage,17812.03,0
34134,435,0.5490769448128797,11.83,Mortgage,16410.93,1
62338,373,0.33255447811796546,2.73,Mortgage,17817.51,0
31687,553,0.2832634293410149,0.61,Rent,14916.07,0
53132,317,0.16334530445259623,9.13,Mortgage,9718.88,0
20604,342,0.18397710218370714,2.09,Rent,15278.45,1
30077,349,0.56018015695693,0.72,Own,20697.45,1
52952,814,0.32830851669986116,4.77,Mortgage,15291.23,0
61076,602,0.46109195967963035,4.31,Rent,23213.44,0
52570,441,0.1402581763292666,3.21,Rent,16261.25,0
48265,501,0.42173227206324193,9.82,Rent,24838.46,0
45483,506,0.5607595961687106,1.59,Mortgage,25245.0,1
27822,714,0.24998172544074557,0.07,Own,10512.04,0
39202,520,0.38957025035671966,1.95,Rent,11766.47,0
43090,661,0.5701095521579252,0.05,Mortgage,12714.74,0
65856,380,0.45966127690236014,3.92,Rent,6460.26,0
55154,584,0.13116275119203866,2.38,Rent,17319.82,0
23554,668,0.2893685736302194,8.41,Mortgage,17183.02,0
54861,791,0.1428863780436442,7.99,Rent,15960.55,0
44223,645,0.530658798099587,2.85,Rent,8882.46,0
39846,503,0.41083135060180775,1.22,Mortgage,22942.45,0
59175,324,0.5781908724169429,2.74,Own,5597.89,0
65464,368,0.10987816459290359,5.13,Own,8385.12,0
63969,815,0.31154368492695217,1.05,Own,19430.87,0
37411,791,0.15218204977219738,7.42,Own,16579.59,0
45361,539,0.2752439113099564,2.01,Mortgage,11929.47,0
54968,660,0.1809434116782935,13.45,Mortgage,15274.9,0
64633,740,0.26439687999671013,3.59,Own,15645.87,0
42812,330,0.5096310023610146,9.39,Mortgage,20888.04,1
47215,621,0.1803496632413518,4.78,Own,8918.53,0
33404,643,0.33683237847609415,4.04,Rent,16459.48,0
32056,835,0.5607915670302632,5.73,Rent,20393.85,0
62187,654,0.5993896439271532,8.34,Rent,10009.72,0
70343,770,0.22532055908754164,5.17,Own,14742.2,0
48919,404,0.5677840853830501,7.98,Rent,14705.19,0
65052,621,0.23069434040051276,1.06,Own,6932.13,0
55424,826,0.3067642494917967,1.63,Mortgage,16460.85,0
40323,803,0.5389618061166637,1.31,Rent,16759.37,0
55420,384,0.49308805246212406,8.0,Rent,22481.35,0
73070,534,0.5287437786118676,0.45,Rent,14893.38,0
49462,562,0.5001283396522254,7.94,Mortgage,17188.78,0
73469,305,0.21753050250502068,2.46,Own,22361.01,0
10703,793,0.37939755771530104,0.41,Rent,11791.12,0
62328,588,0.292625359180961,2.76,Rent,9095.63,0
51305,649,0.3298554842241843,1.79,Own,15610.36,0
45514,499,0.1769781510618154,4.48,Rent,14013.84,0
51376,634,0.25788377961258524,3.2,Rent,14545.97,0
20186,516,0.5288235607110935,1.76,Rent,12885.0,1
46704,652,0.548779204943082,9.91,Own,10800.79,0
55356,624,0.4050765419495693,2.61,Rent,19671.27,0
72168,527,0.34913362850037644,3.18,Mortgage,14897.96,0
42225,444,0.4564198440746502,9.37,Own,26227.37,1
37872,607,0.40442662511110117,0.47,Rent,9800.08,0
42473,584,0.5918375031739068,2.47,Mortgage,25031.76,0
63731,691,0.19504439608210164,2.58,Mortgage,16462.51,0
54931,659,0.3245223631232408,3.42,Mortgage,15092.72,0
42053,464,0.5591202511427769,0.56,Mortgage,9496.66,0
57699,523,0.5573685299542621,0.54,Mortgage,11687.15,0
51456,423,0.3476734232805868,2.69,Rent,21293.17,0
64529,643,0.16740450100069074,0.17,Mortgage,1672.44,0
39469,823,0.5074789837464513,1.47,Own,6023.9,0
45085,351,0.3925825932516738,1.12,Rent,6940.6,0
44118,428,0.4865830079286284,3.36,Rent,20855.19,1
28047,434,0.3312618157052951,0.06,Mortgage,18403.68,1
54441,426,0.2019419609684133,5.63,Mortgage,9934.88,0
53915,370,0.11199470373976042,9.68,Rent,12641.91,0
50076,572,0.37956913441987605,6.13,Own,15649.16,0
46481,486,0.1805230894407948,8.52,Rent,20098.37,0
28769,302,0.19356860429891073,5.15,Rent,9934.64,1
43690,584,0.3181528154785822,3.54,Mortgage,15666.01,0
44859,321,0.32103853671944893,1.24,Own,13278.52,0
37965,465,0.23719354510285265,1.64,Mortgage,14485.08,0
47580,609,0.16596110421173424,1.91,Mortgage,10517.56,0
56060,776,0.5724763759111688,0.19,Mortgage,16049.12,0
78292,797,0.16582030793912997,12.21,Mortgage,11087.77,0
52618,733,0.2753862923005648,11.53,Own,15477.41,0
53863,533,0.2524339963037231,0.57,Mortgage,22812.49,0
48883,675,0.533168948479276,4.07,Mortgage,20218.61,0
21218,545,0.3050312242392853,3.15,Own,21949.05,1
49602,602,0.16202174961718216,5.75,Rent,16582.11,0
50903,704,0.1051305142022477,4.62,Mortgage,20664.19,0
86948,320,0.46097480173726246,0.66,Rent,5988.89,0
47114,556,0.45725054628392514,5.4,Mortgage,6527.05,0
54523,698,0.3088918356566138,4.69,Mortgage,9974.94,0
49479,828,0.1631540001561618,3.79,Own,10319.97,0
32469,350,0.2858169062863739,2.57,Own,20239.57,1
67142,746,0.3949412254585154,15.5,Rent,7456.36,0
61278,569,0.4519714709034205,9.47,Mortgage,8216.28,0
61865,561,0.1391199462171381,4.4,Own,14390.51,0
36359,664,0.37815373530733953,0.03,Mortgage,15684.96,0
71041,348,0.2380620392240688,2.83,Mortgage,19375.24,0
28972,817,0.40863314356682134,6.03,Rent,13663.02,0
58802,417,0.42407006143238046,0.62,Mortgage,14086.43,0
82856,752,0.5553018508873593,2.61,Own,19436.0,0
35141,696,0.30518918769448,1.06,Rent,10500.52,0
41505,326,0.36879533006765874,2.06,Own,15613.34,1
51494,671,0.23410756138025465,0.14,Rent,17849.8,0
42447,396,0.2432785120725637,0.68,Rent,13148.06,0
26740,828,0.12301689078068126,3.03,Mortgage,19303.38,0
51028,485,0.24303447114925317,11.42,Rent,10716.2,0
34065,514,0.13191434479532896,3.37,Rent,22811.77,0
57103,550,0.5819578952929149,3.02,Mortgage,13426.32,0
36208,515,0.4121316176880523,7.75,Rent,12804.9,0
73249,328,0.18657428059314704,1.56,Rent,7695.76,0
38251,401,0.15838317991016757,0.5,Own,9399.54,0
45169,422,0.2850613102387717,1.18,Own,10941.99,0
62202,353,0.25382366230942066,7.83,Mortgage,9360.2,0
31537,582,0.2396273904572265,5.65,Rent,9087.39,0
53411,416,0.33409802246551057,0.48,Mortgage,15219.34,0
69607,413,0.5564369214882318,5.5,Mortgage,18005.72,0
25887,842,0.3840251272015148,13.41,Mortgage,16397.86,0
52769,592,0.36061575229330955,0.23,Own,-984.51,0
53898,494,0.503274217580529,4.79,Mortgage,9792.55,0
61727,591,0.10201230579844459,2.38,Rent,20685.46,0
31445,560,0.19869283457761674,3.48,Own,8281.61,0
30193,506,0.34809296719441807,3.76,Own,14394.75,0
57829,348,0.4526545302610333,7.37,Own,9519.19,0
54454,305,0.3425140974698192,4.07,Rent,21527.02,0
53757,678,0.1818579906504386,4.5,Mortgage,11027.2,0
55196,693,0.5649914088307882,2.02,Mortgage,18438.87,0
39799,523,0.26433256555272266,0.67,Own,11377.98,0
53483,322,0.494107840697252,5.74,Own,2870.71,0
54396,409,0.5457066672988063,0.0,Mortgage,17354.85,0
39284,698,0.27322468884433326,1.99,Rent,5404.17,0
77986,471,0.5226558906650524,1.23,Own,10433.71,0
57107,605,0.4553868415833987,2.46,Own,24329.43,0
32130,450,0.552140418331003,1.86,Rent,30648.67,1
59848,727,0.22565535086148883,6.09,Own,15100.58,0
35379,766,0.5656388030691378,1.51,Rent,10542.85,0
61806,366,0.13265323833496515,4.11,Mortgage,15129.59,0
67378,455,0.4968356426528244,3.04,Mortgage,8429.76,0
37689,505,0.3178325103508164,8.07,Own,12888.97,0
64450,454,0.18894498342648033,2.79,Mortgage,23011.94,0
56191,808,0.1397014775513398,9.97,Rent,16047.33,0
62330,373,0.29477375694946906,0.0,Own,7887.99,0
78451,348,0.29466196086326046,4.64,Rent,17032.18,0
46319,766,0.21497869215349272,0.05,Mortgage,6441.78,0
38693,478,0.20775769917642142,6.26,Mortgage,5615.69,0
36657,347,0.299757149023408,1.34,Mortgage,18828.78,1
37762,371,0.3050569416025787,2.39,Own,11181.29,0
48843,412,0.3211823995815961,2.39,Rent,22867.46,0
55117,458,0.534379693363884,9.37,Own,9728.13,0
54150,329,0.4056272532113787,0.54,Mortgage,21137.59,0
62407,396,0.11021658303576251,5.5,Mortgage,23207.86,0
50195,550,0.3595496208810919,19.88,Own,15778.07,0
71803,818,0.48122564799287726,0.11,Rent,13487.01,0
46030,391,0.1282071533222586,16.89,Mortgage,11997.74,0
90802,412,0.3113039396370533,0.09,Rent,12310.63,0
59385,558,0.3256050716287835,9.2,Mortgage,6990.35,0
37142,406,0.5770102261678879,16.25,Own,18203.57,1
33936,689,0.3378419768914802,24.83,Mortgage,18028.13,0
57237,657,0.4749501313311011,3.07,Own,13852.78,0
46648,498,0.25145102260452645,10.09,Own,15149.76,0
60710,726,0.4896533255942157,0.65,Own,12730.28,0
57098,777,0.26133118324867033,2.77,Mortgage,8917.9,0
48907,802,0.31501179367250487,1.84,Rent,8479.83,0
37298,419,0.3397411389058489,2.51,Rent,12158.03,0
27277,608,0.5631814847090056,6.05,Mortgage,13037.19,0
43302,837,0.12672677390243378,0.46,Own,20777.49,0
62845,774,0.1984335755054036,31.5,Rent,18342.34,0
53211,643,0.4528713730987519,5.04,Rent,22701.7,0
31313,435,0.3887888299409844,10.34,Mortgage,18450.78,1
52597,576,0.22576569520748793,8.85,Own,7075.16,0
55779,832,0.2446004437455024,7.26,Rent,7577.23,0
36742,330,0.28365474280434,0.2,Mortgage,9699.09,0
52305,546,0.3251734746651642,3.63,Mortgage,13236.5,0
50873,710,0.5090136616263891,1.99,Own,11118.97,0
32855,326,0.10690773823598129,0.6,Mortgage,18460.04,1
55366,372,0.5490098706067392,2.1,Own,20892.52,1
58411,396,0.3065135558157641,5.18,Rent,8958.51,0
66245,645,0.21524875878320657,1.31,Mortgage,6785.46,0
65807,775,0.3542063497636726,2.94,Rent,23221.97,0
29334,599,0.4298350213497891,2.59,Own,16157.13,0
35932,598,0.12237610959680176,0.27,Own,12323.32,0
57725,586,0.45788867583304127,4.95,Own,22907.86,0
57706,748,0.4803805937919312,4.82,Mortgage,21225.98,0
57725,511,0.18309114216170966,16.97,Mortgage,12041.82,0
107790,375,0.18394071418845145,1.77,Mortgage,19352.22,0
58563,700,0.20189227727043843,2.71,Rent,20761.5,0
67033,333,0.49831435603365193,2.58,Rent,19192.78,0
64310,797,0.23600152796559457,12.61,Mortgage,21340.63,0
59770,815,0.4979679190271773,2.63,Rent,10252.31,0
45270,627,0.3702619294694245,2.92,Own,15130.56,0
61384,397,0.4835856650859044,1.45,Mortgage,23227.38,0
38407,665,0.37683652083980546,0.01,Own,13050.98,0
46447,762,0.2678844496058954,0.59,Own,11774.33,0
42719,327,0.5553570713290291,6.09,Own,15555.24,1
51228,685,0.45764783092873207,5.74,Rent,7084.8,0
84719,572,0.3420274012578358,1.95,Own,16631.86,0
21991,426,0.41871423818763476,3.2,Rent,6670.48,1
60293,501,0.4079216779344965,1.76,Own,21333.82,0
25809,820,0.27905810825213506,6.56,Mortgage,6894.24,0
42921,586,0.3118858733897609,9.24,Own,19246.15,0
66334,749,0.2591283888165603,11.47,Own,11351.46,0
50964,387,0.5997590657077265,0.96,Mortgage,9711.39,0
33833,617,0.39003222699219464,5.94,Rent,15131.21,0
39270,318,0.14602766054873115,16.48,Mortgage,16496.62,0
60193,406,0.3595535918508178,5.26,Own,15460.21,0
39044,757,0.12498098233591995,2.16,Own,16699.67,0
53246,610,0.24432602415648294,5.05,Rent,18455.1,0
50683,711,0.32298055798809155,5.83,Own,4944.53,0
40225,797,0.3671352433009559,2.53,Own,15676.14,0
82159,543,0.5880906998641274,0.55,Rent,8180.25,0
59508,679,0.5911108619020761,4.67,Rent,8657.39,0
19622,814,0.1490346849531772,8.1,Rent,9498.49,0
52796,506,0.3690663363814446,30.11,Rent,5137.39,0
40073,693,0.508554697596057,1.26,Own,14944.77,0
62786,320,0.21885641012637738,6.03,Rent,6164.16,0
38112,826,0.4752815492942358,0.14,Rent,17025.28,0
48278,642,0.5393095278524896,17.5,Own,22593.79,0
57574,501,0.4312436980177293,0.06,Rent,22824.06,0
62986,419,0.2638516744225594,2.22,Own,9544.98,0
31995,688,0.5615661596702863,0.4,Rent,9064.08,0
44982,836,0.5417600468370845,4.85,Rent,18906.48,0
42875,533,0.45791265939701875,2.07,Mortgage,15283.37,0
40200,619,0.2818340567185865,6.6,Own,14629.67,0
76481,479,0.4959481811973997,3.33,Rent,8460.58,0
56074,667,0.25805449075107056,2.72,Mortgage,15602.08,0
31086,375,0.22647642566678536,2.14,Mortgage,19325.46,1
63767,795,0.35750669345564057,0.45,Own,11137.17,0
81832,821,0.5985676125006254,1.15,Mortgage,17318.86,0
65486,500,0.5021609707170606,5.1,Own,15798.39,0
27209,645,0.46489636605916185,3.43,Mortgage,11736.19,0
42736,782,0.3260063733469887,0.36,Own,14744.53,0
69003,518,0.255975004592908,3.93,Rent,9767.07,0
39384,359,0.527950381575258,0.28,Own,19279.26,1
56657,849,0.3838663899905096,3.58,Mortgage,9851.55,0
61619,520,0.5066274755609494,16.76,Own,12010.48,0
36096,801,0.34387685478548935,1.84,Rent,19512.87,0
49107,432,0.47697874700605014,6.43,Rent,12383.0,0
1380,352,0.5338705293358474,6.84,Mortgage,10320.7,1
34634,749,0.2956950132349998,2.59,Mortgage,15918.43,0
46211,361,0.10678478495200797,4.5,Mortgage,23976.5,0
31283,322,0.22746328301045451,3.19,Rent,20820.44,1
74486,343,0.5574575205422044,1.67,Rent,18050.82,0
28547,346,0.44377113027614545,7.03,Mortgage,19970.98,1
43399,323,0.46860935821847016,6.07,Rent,17581.92,1
51961,388,0.2626443071327107,11.54,Rent,16143.55,0
71619,473,0.4506364923374976,4.81,Mortgage,19570.09,0
28462,418,0.4231410727047126,2.46,Rent,16735.39,1
67447,477,0.1891868317385145,6.26,Mortgage,14733.73,0
50153,641,0.5843453887153223,4.83,Rent,15931.71,0
35277,358,0.27701279667387,4.79,Own,16660.48,1
56931,737,0.26464348692002115,9.48,Own,16531.74,0
52985,727,0.284580772115099,12.07,Rent,16824.98,0
40996,725,0.14585980766038467,0.99,Rent,10065.39,0
51047,680,0.41248175854660796,1.88,Own,13965.76,0
44220,785,0.2193121218731984,5.25,Mortgage,8665.77,0
51702,484,0.5016563781920904,4.07,Mortgage,16313.35,0
59931,759,0.29707809006697294,5.28,Own,16720.78,0
73790,401,0.32927924114532603,2.84,Mortgage,21590.54,0
31432,314,0.42321102705777947,2.66,Mortgage,16501.66,1
81995,350,0.48093556697686957,0.63,Own,13148.52,0
20718,608,0.21555765242405586,4.89,Own,12893.07,0
47723,333,0.583147164859073,0.97,Rent,18228.55,1
58824,504,0.41116077298334064,5.56,Own,11594.57,0
54214,369,0.10281931175019379,17.07,Own,15766.36,0
40659,529,0.30781110496177555,1.48,Mortgage,19768.27,0
46878,779,0.3184089103153771,0.77,Mortgage,25124.13,0
42604,832,0.5045824879871985,0.12,Rent,20777.76,0
41159,407,0.25256988706025196,2.38,Mortgage,12372.97,0
62744,540,0.2656132581474817,1.21,Mortgage,11268.26,0
55355,550,0.13524704642628396,3.38,Mortgage,18150.96,0
39606,434,0.2417730122629074,3.71,Own,13930.77,0
63493,389,0.458480850742925,2.15,Mortgage,7605.5,0
54609,739,0.41737845977990984,6.93,Own,27961.63,0
62192,597,0.14069704400394703,11.76,Mortgage,15865.06,0
59444,706,0.1573469460573915,1.19,Own,21246.53,0
37565,607,0.28846298196255404,9.05,Mortgage,13332.67,0
41597,401,0.4718788810705049,0.7,Rent,14843.21,1
61209,660,0.516459139064315,1.3,Rent,15757.73,0
59155,827,0.10731202150500871,4.12,Rent,13635.83,0
49686,592,0.2645052886537004,1.83,Mortgage,11203.64,0
51759,445,0.3121309318142875,0.21,Rent,25987.64,0
69164,703,0.5555664053952283,1.75,Own,16774.78,0
41126,301,0.3507032788547214,11.76,Rent,7110.13,0
58206,418,0.23485038262284189,0.96,Rent,15508.52,0
46967,490,0.2950235325819224,7.21,Rent,7806.18,0
46734,302,0.3182172207473736,6.41,Rent,10771.73,0
66481,786,0.43499793676463927,0.56,Own,15534.03,0
62381,476,0.12054389148371261,2.0,Rent,17696.35,0
62202,556,0.29472583151217513,1.05,Mortgage,2384.13,0
69582,833,0.4232773184572257,0.12,Rent,23579.21,0
50315,776,0.24166115768219873,0.95,Mortgage,11705.78,0
60229,697,0.3958755033320771,1.13,Mortgage,13877.15,0
45345,795,0.2786394650520221,0.91,Rent,22667.66,0
54862,519,0.47936043375338777,0.48,Rent,23557.44,0
48047,472,0.13029884823124674,3.74,Mortgage,11902.26,0
51454,689,0.5589809903506782,1.95,Own,20316.0,0
58927,801,0.18580627397448782,11.94,Own,15793.62,0
37726,559,0.17927354337467458,1.04,Rent,28272.53,0
81385,430,0.5203214723866063,4.62,Own,11633.3,0
34909,412,0.5346414615119444,11.54,Own,23248.48,1
31787,319,0.14648665672290015,0.24,Rent,12074.04,1
67371,514,0.5543594640074552,3.63,Mortgage,9631.9,0
61874,609,0.23664893336448814,3.0,Mortgage,13483.37,0
59361,550,0.40931084270402773,13.21,Own,6797.16,0
59425,787,0.13429674520394788,5.45,Mortgage,10345.0,0
49816,681,0.2903305505641005,2.15,Rent,13399.36,0
36541,708,0.3253623045522689,6.22,Own,13734.5,0
51137,570,0.39991328467815523,4.37,Mortgage,19582.08,0
39842,706,0.3626359857072329,2.13,Own,19109.26,0
64626,493,0.33074648074579627,7.69,Mortgage,14822.22,0
47794,740,0.579820105882794,5.52,Own,6313.88,0
37617,612,0.19251138849387958,0.03,Mortgage,4325.32,0
45179,378,0.1789971153233341,10.02,Mortgage,12350.43,0
56193,479,0.4567095304503358,2.53,Rent,10822.49,0
41544,313,0.13727594243511607,5.18,Rent,12041.35,0
37666,545,0.34144572799713835,2.53,Rent,23110.09,0
53655,313,0.3420265595761036,10.66,Own,11963.48,0
53674,398,0.2550126654795457,5.26,Own,10672.85,0
42395,332,0.5652218708400989,4.33,Own,14982.59,1
42934,735,0.24127171754800572,19.63,Mortgage,12400.55,0
53480,556,0.24422097611912327,1.65,Mortgage,17985.23,0
28278,333,0.21714998211186057,0.34,Mortgage,16227.8,1
28888,318,0.17289401761028153,3.63,Own,24268.21,1
39223,559,0.2820055276742264,2.76,Rent,13540.83,0
46798,715,0.440443630000215,3.03,Own,24654.85,0
54663,436,0.47108143138537795,4.84,Own,18489.5,0
72130,658,0.5067094582153405,4.77,Rent,17652.65,0
62864,415,0.1987719442657793,2.49,Rent,5058.16,0
47600,703,0.11781634411986489,9.93,Own,4303.9,0
49714,501,0.587342929244196,5.27,Mortgage,6950.24,0
34962,675,0.10716625964321427,11.03,Mortgage,16067.83,0
