iter	RMSE
0	0.7555829421
1	0.7466038014
2	0.7380302583
3	0.7302756918
4	0.7227050025
5	0.7162280098
6	0.7103418675
7	0.7018836275
8	0.6935826409
9	0.6859094475
10	0.6788897205
11	0.6729195082
12	0.6670603475
13	0.6614449065
14	0.6565286207
15	0.6521362725
16	0.6477042896
17	0.6432705837
18	0.6390622942
19	0.635481982
20	0.6313971239
21	0.6282599444
22	0.6248451499
23	0.6221324889
24	0.619848109
25	0.6175816941
26	0.6151494227
27	0.6126630369
28	0.6105062937
29	0.6089369645
30	0.6070255243
31	0.6052786331
32	0.6038485271
33	0.6020804867
34	0.600762253
35	0.5994359786
36	0.5981674675
37	0.5970024401
38	0.5959858713
39	0.5944876877
40	0.5934412864
41	0.5921273844
42	0.5912532383
43	0.5903620861
44	0.5894336738
45	0.5882958758
46	0.5876225902
47	0.5866969182
48	0.5860861914
49	0.5850894377
50	0.5841372759
51	0.5832702491
52	0.582685357
53	0.5821445121
54	0.5813408336
55	0.5808250063
56	0.5800837898
57	0.5792362672
58	0.5788614431
59	0.5785984011
60	0.5781043305
61	0.5774347251
62	0.5768810909
63	0.576609184
64	0.5763672684
65	0.5755382535
66	0.5751575302
67	0.5747250602
68	0.574245531
69	0.5738348979
70	0.5734230389
71	0.5730433371
72	0.5726200115
73	0.5723638306
74	0.5720601095
75	0.5719093765
76	0.5718554703
77	0.5714891211
78	0.5712169444
79	0.5711265786
80	0.5707807324
81	0.5701914378
82	0.5698420093
83	0.569314775
84	0.5691444753
85	0.5688775836
86	0.5685332881
87	0.5681057408
88	0.5679657388
89	0.5675886951
90	0.5673430396
91	0.5670192196
92	0.5669105724
93	0.56640067
94	0.5659402618
95	0.5656805308
96	0.5654616093
97	0.565335737
98	0.5651680873
99	0.5649966158
100	0.5646908597
101	0.564638254
102	0.5644836389
103	0.5643236218
104	0.5640581495
105	0.5639001844
106	0.5638175984
107	0.5636863514
108	0.5633245256
109	0.5630556863
110	0.5628600873
111	0.56273248
112	0.5624113876
113	0.5618751888
114	0.5615207685
115	0.5611426247
116	0.5611250968
117	0.5608629018
118	0.5607696177
119	0.5607186967
120	0.5605917856
121	0.5604552433
122	0.5603336959
123	0.5602000879
124	0.5598401109
125	0.5598171759
126	0.5596447816
127	0.5594486368
128	0.5592326666
129	0.5591863211
130	0.5588857193
131	0.5585886028
132	0.5585399201
133	0.5583860551
134	0.5581409329
135	0.5580302593
136	0.5576831793
137	0.5575878612
138	0.5574386756
139	0.5570851637
140	0.5569559146
141	0.5567520771
142	0.5564918732
143	0.5562091952
144	0.5561542819
145	0.5559704475
146	0.5559024898
147	0.5557733559
148	0.555511726
149	0.555377988
150	0.5552097705
151	0.5550549674
152	0.5550447669
153	0.5548767902
154	0.5546447788
155	0.5545369198
156	0.5543400253
157	0.5542580489
158	0.5540276379
159	0.5539201642
160	0.5537931364
161	0.5535595793
162	0.553467732
163	0.5533115493
164	0.5531614208
165	0.5529306192
166	0.5528858562
167	0.5527684527
168	0.5526460634
169	0.5525607755
170	0.5524147262
171	0.552215555
172	0.552011318
173	0.5518245825
174	0.5516454249
175	0.5514247735
176	0.5512472073
177	0.5509923135
178	0.5508823071
179	0.5506741706
180	0.5504925212
181	0.5504072111
182	0.5502566619
183	0.5502080275
184	0.5499890544
185	0.5498807214
186	0.5497100741
187	0.5496480194
188	0.5495031039
189	0.5494006943
190	0.5492595401
191	0.5491829018
192	0.5490438131
193	0.5488886566
194	0.548811757
195	0.5486581241
196	0.5486130573
197	0.5484799571
198	0.5484199607
199	0.5483669365
200	0.548331655
201	0.5482686492
202	0.5480510382
203	0.5479925001
204	0.5478655515
205	0.5477540453
206	0.5474313107
207	0.5473157854
208	0.547240985
209	0.5469692268
210	0.5468454821
211	0.5467419208
212	0.5466528255
213	0.5465411314
214	0.5463842312
215	0.5462525918
216	0.546105139
217	0.5460731825
