iter	Passed	Remaining
0	48	48114
1	82	41355
2	112	37504
3	138	34524
4	165	32997
5	190	31610
6	218	30941
7	244	30362
8	271	29923
9	296	29328
10	321	28881
11	345	28417
12	373	28364
13	401	28249
14	427	28077
15	453	27916
16	480	27782
17	507	27701
18	534	27576
19	559	27429
20	584	27254
21	609	27097
22	634	26961
23	660	26842
24	684	26702
25	708	26555
26	737	26583
27	766	26597
28	791	26491
29	816	26390
30	840	26273
31	864	26164
32	890	26088
33	915	26017
34	940	25932
35	966	25883
36	992	25827
37	1019	25813
38	1046	25783
39	1074	25779
40	1101	25753
41	1128	25732
42	1156	25731
43	1182	25687
44	1207	25621
45	1232	25559
46	1256	25486
47	1282	25441
48	1308	25388
49	1332	25326
50	1357	25265
51	1383	25219
52	1407	25153
53	1432	25090
54	1457	25043
55	1482	24983
56	1507	24935
57	1533	24901
58	1558	24852
59	1585	24840
60	1610	24786
61	1634	24735
62	1659	24674
63	1683	24620
64	1708	24571
65	1732	24524
66	1758	24484
67	1783	24450
68	1809	24420
69	1836	24402
70	1861	24361
71	1887	24332
72	1913	24302
73	1940	24277
74	1966	24249
75	1991	24217
76	2005	24043
77	2031	24014
78	2056	23980
79	2082	23949
80	2109	23939
81	2136	23918
82	2163	23901
83	2189	23871
84	2214	23833
85	2239	23803
86	2264	23760
87	2289	23727
88	2314	23686
89	2341	23675
90	2366	23642
91	2392	23617
92	2429	23692
93	2459	23708
94	2492	23743
95	2517	23709
96	2543	23676
97	2569	23651
98	2595	23619
99	2620	23588
100	2646	23558
101	2670	23511
102	2694	23466
103	2719	23425
104	2749	23432
105	2774	23396
106	2799	23361
107	2824	23326
108	2850	23304
109	2877	23285
110	2903	23255
111	2929	23225
112	2955	23199
113	2981	23174
114	3007	23144
115	3033	23114
116	3045	22984
117	3069	22946
118	3091	22886
119	3117	22865
120	3143	22832
121	3169	22809
122	3194	22777
123	3215	22718
124	3242	22695
125	3268	22675
126	3293	22641
127	3321	22624
128	3347	22598
129	3363	22511
130	3388	22479
131	3413	22445
132	3426	22335
133	3451	22303
134	3475	22271
135	3501	22242
136	3527	22223
137	3554	22203
138	3580	22178
139	3606	22156
140	3631	22126
141	3658	22102
142	3684	22080
143	3709	22051
144	3735	22029
145	3763	22014
146	3789	21991
147	3816	21972
148	3843	21952
149	3869	21924
150	3895	21899
151	3922	21882
152	3935	21785
153	3960	21756
154	3985	21725
155	4010	21699
156	4035	21668
157	4061	21643
158	4087	21619
159	4112	21588
160	4137	21559
161	4162	21533
162	4190	21517
163	4219	21507
164	4245	21486
165	4271	21461
166	4298	21441
167	4325	21420
168	4351	21395
169	4376	21368
170	4402	21345
171	4429	21321
172	4455	21298
173	4480	21269
174	4506	21244
175	4531	21215
176	4556	21185
177	4581	21156
178	4606	21128
179	4631	21097
180	4657	21073
181	4681	21041
182	4708	21020
183	4733	20992
184	4760	20973
185	4786	20947
186	4812	20920
187	4837	20893
188	4862	20865
189	4887	20834
190	4914	20817
191	4942	20801
192	4971	20789
193	4999	20771
194	5027	20752
195	5051	20722
196	5076	20691
197	5102	20668
198	5137	20680
199	5166	20667
200	5192	20639
201	5217	20610
202	5243	20587
203	5270	20566
204	5298	20549
205	5326	20529
206	5354	20511
207	5380	20487
208	5413	20488
209	5442	20472
210	5468	20447
211	5493	20419
212	5518	20391
213	5544	20365
214	5571	20342
215	5597	20315
216	5623	20289
217	5648	20263
218	5675	20239
219	5702	20218
220	5730	20197
221	5757	20177
222	5785	20158
223	5812	20136
224	5840	20117
225	5868	20097
226	5895	20074
227	5922	20052
228	5949	20031
229	5976	20008
230	6004	19988
231	6030	19962
232	6057	19939
233	6083	19913
234	6108	19884
235	6134	19858
236	6161	19836
237	6187	19811
238	6214	19786
239	6237	19752
240	6262	19724
241	6289	19699
242	6315	19674
243	6346	19662
244	6374	19645
245	6400	19618
246	6425	19587
247	6457	19580
248	6506	19624
249	6538	19615
250	6567	19596
251	6594	19575
252	6623	19555
253	6650	19532
254	6676	19506
255	6703	19482
256	6728	19453
257	6752	19419
258	6777	19390
259	6803	19364
260	6828	19334
261	6852	19301
262	6875	19267
263	6902	19242
264	6926	19211
265	6951	19180
266	6977	19156
267	7006	19138
268	7034	19115
269	7060	19090
270	7087	19064
271	7112	19036
272	7138	19010
273	7166	18988
274	7190	18957
275	7217	18931
276	7242	18902
277	7267	18875
278	7296	18855
279	7322	18829
280	7348	18803
281	7373	18772
282	7399	18747
283	7425	18721
284	7453	18698
285	7483	18682
286	7513	18665
287	7545	18654
288	7583	18657
289	7618	18651
290	7647	18633
291	7672	18603
292	7702	18586
293	7731	18565
294	7763	18552
295	7793	18536
296	7825	18522
297	7853	18501
298	7881	18477
299	7907	18450
300	7933	18424
301	7960	18399
302	7988	18377
303	8017	18355
304	8047	18337
305	8076	18317
306	8106	18298
307	8135	18278
308	8161	18251
309	8189	18228
310	8217	18205
311	8245	18181
312	8271	18155
313	8298	18129
314	8323	18100
315	8351	18077
