id,title,genre,original_language,popularity,release_date,vote_average,vote_count
278,The Shawshank Redemption,"Drama,Crime",en,94.075,9/23/1994,8.7,21862
19404,Dilwale Dulhania Le Jayenge,"Comedy,Drama,Romance",hi,25.408,10/19/1995,8.7,3731
238,The Godfather,"Drama,Crime",en,90.585,3/14/1972,8.7,16280
424,Schindler's List,"Drama,History,War",en,44.761,12/15/1993,8.6,12959
240,The Godfather: Part II,"Drama,Crime",en,57.749,12/20/1974,8.6,9811
667257,Impossible Things,"Family,Drama",es,14.358,6/17/2021,8.6,255
129,Spirited Away,"Animation,Family,Fantasy",ja,92.056,7/20/2001,8.5,13093
730154,Your Eyes Tell,"Romance,Drama",ja,51.345,10/23/2020,8.5,339
372754,Dou kyu sei – Classmates,"Romance,Animation",ja,14.285,2/20/2016,8.5,239
372058,Your Name.,"Romance,Animation,Drama",ja,158.27,8/26/2016,8.5,8895
389,12 Angry Men,Drama,en,31.946,4/10/1957,8.5,6533
696374,Gabriel's Inferno,Romance,en,12.674,5/29/2020,8.5,2262
496243,Parasite,"Comedy,Thriller,Drama",ko,65.147,5/30/2019,8.5,14036
497,The Green Mile,"Fantasy,Drama,Crime",en,69.118,12/10/1999,8.5,14162
724089,Gabriel's Inferno: Part II,Romance,en,14.924,7/31/2020,8.5,1420
155,The Dark Knight,"Drama,Action,Crime,Thriller",en,82.23,7/14/2008,8.5,27925
429,"The Good, the Bad and the Ugly",Western,it,47.73,12/23/1966,8.5,6747
680,Pulp Fiction,"Thriller,Crime",en,67.224,9/10/1994,8.5,23481
122,The Lord of the Rings: The Return of the King,"Adventure,Fantasy,Action",en,134.707,12/1/2003,8.5,19844
761053,Gabriel's Inferno: Part III,"Romance,Comedy",en,47.608,11/19/2020,8.5,977
13,Forrest Gump,"Comedy,Drama,Romance",en,65.175,6/23/1994,8.5,23009
11216,Cinema Paradiso,"Drama,Romance",it,18.677,11/17/1988,8.5,3394
346,Seven Samurai,"Action,Drama",ja,27.849,4/26/1954,8.5,2725
769,GoodFellas,"Drama,Crime",en,50.387,9/12/1990,8.5,10294
533514,Violet Evergarden: The Movie,"Animation,Fantasy,Romance,Drama",ja,23.933,9/18/2020,8.5,251
637,Life Is Beautiful,"Comedy,Drama",it,55.527,12/20/1997,8.5,11179
311,Once Upon a Time in America,"Drama,Crime",en,25.789,5/23/1984,8.5,4241
14537,Harakiri,"Action,Drama,History",ja,14.472,9/15/1962,8.4,651
539,Psycho,"Horror,Drama,Thriller",en,41.575,6/22/1960,8.4,8288
652837,"Josee, the Tiger and the Fish","Animation,Drama,Romance",ja,178.195,12/25/2020,8.4,246
40096,A Dog's Will,"Comedy,Drama,Fantasy",pt,9.741,9/15/2000,8.4,902
12477,Grave of the Fireflies,"Animation,Drama,War",ja,0.6,4/16/1988,8.4,4217
510,One Flew Over the Cuckoo's Nest,Drama,en,27.541,5/18/1975,8.4,8703
550,Fight Club,Drama,en,58.676,10/15/1999,8.4,24441
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,"Animation,Action,Science Fiction,Drama",ja,108.156,3/8/2021,8.4,528
324857,Spider-Man: Into the Spider-Verse,"Action,Adventure,Animation,Science Fiction",en,118.785,12/6/2018,8.4,11529
598,City of God,"Drama,Crime",pt,35.565,2/5/2002,8.4,5886
255709,Hope,Drama,ko,17.189,10/2/2013,8.4,398
378064,A Silent Voice: The Movie,"Animation,Drama,Romance",ja,170.606,9/17/2016,8.4,3029
92321,Hotarubi no Mori e,"Romance,Animation,Fantasy",ja,0.6,9/17/2011,8.4,810
4935,Howl's Moving Castle,"Fantasy,Animation,Adventure",ja,75.091,11/19/2004,8.4,7452
18491,Neon Genesis Evangelion: The End of Evangelion,"Drama,Animation,Science Fiction,Action",ja,32.759,7/19/1997,8.4,1102
1891,The Empire Strikes Back,"Adventure,Action,Science Fiction",en,28.323,5/20/1980,8.4,14384
599,Sunset Boulevard,Drama,en,17.814,8/10/1950,8.4,1982
441130,Wolfwalkers,"Animation,Family,Adventure,Fantasy",en,17.052,10/26/2020,8.4,800
120,The Lord of the Rings: The Fellowship of the Ring,"Adventure,Fantasy,Action",en,168.448,12/18/2001,8.4,21207
3782,Ikiru,Drama,ja,9.854,10/9/1952,8.4,809
704264,Primal: Tales of Savagery,"Action,Adventure,Animation",en,62.485,11/21/2019,8.4,227
423,The Pianist,"Drama,War",en,40.571,9/17/2002,8.4,7374
157336,Interstellar,"Adventure,Drama,Science Fiction",en,191.22,11/5/2014,8.4,28920
244786,Whiplash,"Drama,Music",en,57.858,10/10/2014,8.4,12371
121,The Lord of the Rings: The Two Towers,"Adventure,Fantasy,Action",en,162.716,12/18/2002,8.4,18370
73,American History X,Drama,en,32.756,7/1/1998,8.4,9700
567,Rear Window,"Thriller,Mystery",en,19.511,8/1/1954,8.4,5230
27205,Inception,"Action,Science Fiction,Adventure",en,111.757,7/15/2010,8.4,31917
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Animation,Action,Adventure,Fantasy",ja,802.132,10/16/2020,8.4,2564
632632,Given,"Animation,Drama,Music,Romance",ja,92.227,8/22/2020,8.4,324
901,City Lights,"Comedy,Drama,Romance",en,13.321,2/1/1931,8.4,1661
12493,High and Low,"Crime,Drama,Mystery,Thriller",ja,10.462,3/1/1963,8.4,601
914,The Great Dictator,"Comedy,War",en,17.663,10/15/1940,8.4,2659
807,Se7en,"Crime,Mystery,Thriller",en,47.045,9/22/1995,8.4,17351
