iter	Passed	Remaining
0	9	9370
1	17	8872
2	25	8522
3	33	8379
4	41	8310
5	49	8228
6	58	8240
7	66	8219
8	74	8194
9	82	8166
10	91	8206
11	99	8210
12	107	8189
13	115	8166
14	124	8145
15	132	8120
16	140	8101
17	148	8078
18	156	8055
19	164	8051
20	172	8043
21	180	8037
22	188	8020
23	196	8002
24	205	8005
25	213	8003
26	222	8001
27	230	7988
28	238	7980
29	246	7964
30	254	7952
31	262	7952
32	270	7939
33	279	7937
34	287	7938
35	296	7930
36	304	7926
37	312	7915
38	323	7971
39	333	7998
40	345	8078
41	354	8084
42	362	8068
43	370	8050
44	378	8036
45	387	8038
46	396	8034
47	404	8019
48	412	8006
49	420	7989
50	428	7978
51	436	7966
52	445	7954
53	452	7932
54	460	7912
55	468	7892
56	476	7885
57	484	7869
58	492	7854
59	500	7836
60	507	7816
61	515	7797
62	522	7775
63	530	7755
64	537	7737
65	545	7716
66	552	7697
67	560	7675
68	567	7656
69	575	7641
70	582	7623
71	590	7607
72	597	7589
73	605	7570
74	612	7553
75	619	7536
76	627	7520
77	634	7505
78	642	7484
79	649	7470
80	657	7457
81	664	7443
82	672	7429
83	680	7417
84	687	7403
85	695	7388
86	702	7375
87	710	7362
88	717	7346
89	725	7333
90	734	7339
91	742	7328
92	750	7319
93	757	7304
94	765	7291
95	772	7276
96	780	7263
97	787	7248
98	795	7236
99	802	7225
100	810	7212
101	818	7202
102	825	7191
103	833	7180
104	841	7170
105	848	7156
106	856	7144
107	863	7130
108	871	7125
109	879	7112
110	886	7101
111	894	7090
112	901	7076
113	908	7062
114	915	7049
115	923	7038
116	930	7025
117	938	7012
118	945	6999
119	958	7030
120	967	7026
121	974	7015
122	982	7005
123	989	6992
124	997	6982
125	1004	6969
126	1011	6956
127	1019	6944
128	1026	6931
129	1034	6920
130	1041	6907
131	1048	6896
132	1056	6884
133	1063	6874
134	1071	6865
135	1079	6857
136	1086	6846
137	1095	6845
138	1103	6835
139	1110	6824
140	1119	6821
141	1128	6820
142	1136	6810
143	1143	6800
144	1151	6790
145	1158	6779
146	1166	6767
147	1173	6756
148	1181	6746
149	1188	6736
150	1196	6726
151	1204	6719
152	1211	6708
153	1219	6697
154	1226	6685
155	1233	6673
156	1240	6662
157	1248	6652
158	1255	6641
159	1263	6635
160	1271	6624
161	1278	6615
162	1286	6605
163	1293	6595
164	1302	6588
165	1309	6579
166	1316	6568
167	1324	6559
168	1331	6549
169	1339	6539
170	1346	6529
171	1354	6522
172	1362	6512
173	1369	6502
174	1377	6491
175	1384	6480
176	1391	6470
177	1398	6458
178	1406	6449
179	1413	6438
180	1420	6428
181	1428	6418
182	1435	6410
183	1443	6400
184	1450	6390
185	1457	6379
186	1465	6369
187	1472	6359
188	1479	6348
189	1486	6338
190	1494	6328
191	1501	6320
192	1509	6310
193	1518	6308
194	1525	6299
195	1533	6290
196	1541	6281
197	1548	6272
198	1556	6263
199	1563	6254
200	1571	6245
201	1579	6238
202	1586	6229
203	1594	6220
204	1601	6210
205	1608	6200
206	1615	6190
207	1623	6180
208	1630	6171
209	1638	6164
210	1645	6154
