Path_ID,Path_Length,Gate_Count,Slack,Fanout,Delay,Setup_Violation
1,11,8,-0.139,3,2.79,1
2,8,10,-0.009,7,3.13,1
3,17,10,-0.076,3,1.97,1
4,19,14,-0.063,2,2.08,1
5,15,7,0.207,4,2.51,0
6,12,10,0.258,8,1.08,0
7,17,14,-0.258,9,2.29,1
8,9,6,-0.175,7,1.85,1
9,11,9,0.103,1,2.31,0
10,14,5,-0.085,3,1.48,1
11,7,13,-0.148,9,4.56,1
12,11,12,-0.123,1,3.37,1
13,15,8,-0.106,9,3.72,1
14,15,9,0.209,8,4.16,0
15,12,7,-0.218,1,2.99,1
16,9,14,0.125,6,1.35,0
17,8,13,0.032,5,3.15,0
18,12,10,-0.122,6,3.35,1
19,12,12,-0.048,5,3.98,1
20,7,10,-0.146,6,2.73,1
21,10,4,0.067,5,1.51,0
22,9,4,-0.251,5,2.14,1
23,6,12,-0.297,4,2.45,1
24,12,14,0.077,3,3.58,0
25,16,12,-0.183,3,3.28,1
26,18,7,-0.257,4,2.42,1
27,10,12,-0.062,9,4.95,1
28,6,6,-0.27,2,3.42,1
29,16,10,0.232,9,1.95,0
30,9,9,-0.283,1,1.41,1
31,5,11,0.047,1,1.61,0
32,16,14,-0.037,5,1.98,1
33,14,12,0.103,6,1.64,0
34,10,8,-0.103,6,1.75,1
35,17,4,-0.207,3,2.14,1
36,16,6,0.289,7,1.69,0
37,13,13,0.203,9,4.59,0
38,5,11,0.216,8,1.32,0
39,15,14,-0.15,6,3.1,1
40,15,9,-0.277,8,2.64,1
41,19,11,-0.118,5,4.93,1
42,14,12,0.022,8,1.45,0
43,16,7,-0.104,4,2.59,1
44,16,4,0.197,8,4.88,0
45,19,4,-0.137,2,4.46,1
46,18,13,0.279,5,4.27,0
47,18,7,-0.026,9,2.03,1
48,19,10,0.205,4,1.68,0
49,18,5,-0.183,6,3.67,1
50,7,6,-0.053,1,4.72,1
51,16,4,0.12,9,3.23,0
52,11,8,-0.217,1,3.29,1
53,8,4,-0.22,5,2.12,1
54,13,11,0.282,4,4.08,0
55,7,4,0.129,3,1.75,0
56,9,14,-0.275,6,2.29,1
57,7,4,-0.061,2,2.7,1
58,11,5,-0.04,3,3.03,1
59,9,5,0.146,5,1.97,0
60,13,9,-0.149,9,1.46,1
61,11,10,-0.189,2,3.44,1
62,6,8,-0.251,8,2.15,1
63,8,4,-0.043,2,3.32,1
64,13,4,0.113,5,1.62,0
65,16,6,-0.265,7,2.92,1
66,18,5,0.249,8,3.13,0
67,6,8,-0.035,1,1.21,1
68,14,13,-0.156,6,2.35,1
69,13,9,-0.244,1,1.54,1
70,14,10,-0.19,2,1.25,1
71,9,7,0.261,1,4.96,0
72,6,10,0.083,5,2.29,0
73,8,14,0.01,9,4.24,0
74,16,11,0.094,6,2.02,0
75,19,14,-0.039,1,3.73,1
76,16,4,0.138,1,4.04,0
77,11,9,-0.271,2,3.38,1
78,16,11,0.04,9,2.89,0
79,17,8,-0.205,3,2.65,1
80,12,7,-0.228,1,2.4,1
81,19,5,-0.095,5,4.72,1
82,7,9,-0.245,7,4.32,1
83,18,9,-0.244,6,4.86,1
84,5,14,-0.113,1,1.5,1
85,8,4,0.288,5,3.92,0
86,6,12,-0.195,5,4.75,1
87,12,14,-0.29,6,1.72,1
88,8,9,0.158,3,1.27,0
89,6,6,0.184,5,3.96,0
90,18,7,-0.092,7,3.3,1
91,10,14,-0.021,5,4.37,1
92,10,7,0.09,5,1.56,0
93,14,6,-0.271,5,4.18,1
94,8,13,0.269,3,1.81,0
95,10,6,0.232,1,1.65,0
96,17,6,-0.143,5,1.66,1
97,19,7,-0.291,9,4.26,1
98,6,10,0.26,1,3.66,0
99,14,7,0.001,3,3.09,0
100,16,12,0.024,4,2.44,0
101,6,4,0.11,1,4.51,0
102,14,11,0.07,1,2.57,0
103,18,10,0.266,8,4.27,0
104,8,5,0.267,2,2.76,0
105,18,11,0.22,8,2.51,0
106,19,4,0.082,7,2.85,0
107,19,14,0.181,2,2.21,0
108,12,12,0.106,6,3.99,0
109,18,12,0.044,6,3.01,0
110,11,5,-0.223,3,1.93,1
111,16,10,0.187,2,4.6,0
112,13,13,0.192,1,2.54,0
113,18,6,0.076,6,3.17,0
114,12,10,0.192,5,4.63,0
115,9,13,0.091,9,3.5,0
116,17,12,-0.176,1,1.47,1
117,6,7,-0.136,7,4.76,1
118,19,4,-0.171,5,3.51,1
119,9,5,-0.074,5,2.34,1
120,12,4,-0.277,2,1.56,1
121,14,8,0.071,3,4.18,0
122,13,8,-0.098,7,3.48,1
123,16,14,0.093,6,3.13,0
124,16,10,-0.069,2,4.58,1
125,16,12,0.109,6,4.15,0
126,17,12,-0.096,2,1.61,1
127,13,6,-0.144,2,2.25,1
128,17,6,-0.002,2,1.99,1
129,19,6,0.116,3,3.98,0
130,17,7,-0.091,2,1.13,1
131,5,11,0.262,4,3.28,0
132,13,9,-0.276,9,4.05,1
133,11,11,-0.049,6,4.51,1
134,13,4,0.281,1,2.37,0
135,12,11,0.029,8,4.29,0
136,5,7,-0.046,7,1.44,1
137,16,14,0.041,3,4.39,0
138,12,4,0.046,1,1.51,0
139,12,11,0.139,5,2.59,0
140,19,7,-0.223,4,4.19,1
141,15,9,-0.15,8,1.6,1
142,7,11,0.048,1,1.92,0
143,5,7,0.22,1,3.89,0
144,12,6,0.037,4,3.88,0
145,7,12,-0.157,8,3.56,1
146,7,6,0.108,5,3.78,0
147,5,12,0.144,2,3.17,0
148,15,5,-0.157,6,2.01,1
149,9,5,-0.073,5,2.38,1
150,14,5,0.021,2,1.73,0
151,11,9,-0.002,3,4.63,1
152,14,6,-0.066,9,3.33,1
153,13,12,-0.121,7,2.6,1
154,16,7,-0.24,7,2.85,1
155,11,4,-0.268,6,4.79,1
156,13,7,0.275,8,1.61,0
157,12,4,0.208,4,3.34,0
158,16,8,-0.087,8,3.02,1
159,6,7,0.274,4,3.45,0
160,5,11,0.106,8,1.07,0
161,11,11,-0.01,9,4.49,1
162,11,10,-0.004,3,4.73,1
163,18,6,-0.25,3,3.26,1
164,12,4,-0.245,2,3.79,1
165,9,4,0.061,3,4.69,0
166,7,14,0.032,3,3.83,0
167,16,6,-0.172,5,1.61,1
168,12,9,0.268,5,3.31,0
169,10,10,0.169,2,3.43,0
170,15,9,-0.232,6,2.7,1
171,7,9,0.259,5,3.95,0
172,5,9,0.285,6,4.74,0
173,7,6,0.298,1,4.7,0
174,9,9,-0.266,5,2.8,1
175,19,11,0.142,9,1.45,0
176,18,14,0.028,2,4.94,0
177,7,14,0.123,1,4.36,0
178,5,5,0.281,9,1.5,0
179,9,8,0.113,9,4.68,0
180,14,4,0.202,9,4.48,0
181,11,4,0.22,6,3.08,0
182,19,8,0.203,8,3.37,0
183,18,6,-0.044,1,2.6,1
184,11,7,-0.166,4,1.22,1
185,15,6,-0.062,1,2.34,1
186,13,4,0.235,8,4.21,0
187,19,4,-0.212,1,1.02,1
188,19,8,0.008,3,2.33,0
189,14,9,-0.16,4,2.59,1
190,14,6,0.049,8,3.15,0
191,16,12,0.218,6,4.68,0
192,17,8,0.228,7,2.39,0
193,7,11,-0.158,8,2.39,1
194,19,4,0.245,2,3.95,0
195,11,8,0.055,8,2.81,0
196,5,6,-0.09,3,1.9,1
197,8,4,0.125,7,2.81,0
198,17,7,-0.011,3,1.56,1
199,8,8,-0.073,7,1.71,1
200,18,10,0.123,2,2.99,0
