income,loan_amount,credit_history,age,balance,default
48694.0,164139.29,6,26,150445.42,0
61340.29,197769.68,8,21,174666.33,0
45055.69,167471.53,4,23,125233.29,0
72917.41,248711.22,8,12,168295.62,1
61992.09,178622.74,10,20,208148.77,0
37950.39,152314.63,1,21,107656.27,0
61940.92,237567.59,6,28,115303.27,1
57003.68,211901.57,6,25,126556.94,1
60479.92,239957.06,9,52,93943.05,1
68401.46,270836.34,7,32,100815.65,1
52803.14,281160.56,2,52,-13332.1,1
58160.89,254231.59,6,45,61272.0,1
63686.75,261982.47,10,58,76788.95,1
57729.1,256716.34,5,42,56294.84,1
54462.34,256688.35,4,45,35891.27,1
56001.46,258872.97,4,40,43725.48,1
61478.29,216875.27,10,41,138862.64,1
66264.76,246413.99,7,23,129063.04,1
59566.42,265209.65,6,45,52717.5,1
67540.92,231748.02,7,14,162144.23,1
35893.18,136650.44,3,28,116710.94,0
60004.76,186813.3,8,21,183577.06,0
54318.65,247833.09,5,44,48949.23,1
44403.08,150141.29,5,28,145796.1,0
58647.26,314130.18,7,81,-40638.41,1
68965.97,246963.59,8,22,144214.13,1
61113.61,250336.3,7,44,85044.91,1
69559.32,249401.8,8,20,144633.83,1
37404.89,95717.57,6,28,187696.5,0
58189.98,265419.49,6,48,43228.98,1
64080.65,270484.9,6,36,74470.95,1
52388.24,233020.04,4,39,62116.02,1
59487.29,209270.31,7,23,145820.6,0
56009.95,218207.66,5,26,110620.14,0
44100.98,105388.76,8,25,213316.42,0
57808.44,230398.11,6,31,100943.93,1
61333.45,214117.02,6,15,152139.54,0
41421.04,124287.06,6,28,167524.42,0
62319.48,256784.6,9,57,77140.77,1
59085.17,210710.76,6,17,143743.97,0
63082.52,203212.26,9,21,176730.48,0
47389.61,214414.58,4,46,58673.12,1
61994.55,250497.55,8,43,90162.91,1
56426.74,174451.06,8,23,180835.03,0
70005.11,269055.99,7,25,115674.27,1
52569.24,184358.26,5,19,144687.97,0
56360.93,171585.62,8,22,185114.88,0
5938.53,26476.47,2,58,98055.18,0
57049.81,177231.72,8,23,180466.69,0
64143.12,209892.72,11,36,166930.8,1
58242.85,220687.02,6,26,119901.75,1
81027.96,327418.27,9,32,88260.73,1
70856.66,223981.88,10,17,191997.46,0
64958.71,220612.96,7,11,164899.49,1
45726.17,171775.5,3,19,123982.64,0
55259.78,266559.97,5,56,21337.4,1
41187.77,142800.94,5,31,137045.94,0
59160.14,131873.07,12,18,263396.61,0
57084.01,263340.06,5,48,40034.38,1
66393.35,247408.54,7,23,128124.93,1
59964.41,238144.9,5,28,102809.78,1
28618.03,112104.14,2,33,109827.15,0
62194.85,259102.52,6,39,79830.87,1
