customer_id,annual_income,credit_score,debt_to_income,loan_amount,employment_years,missed_payments,num_credit_accounts,collateral_value,mobile_recharge_regularity,upi_txn_per_month,ecom_prepaid_ratio,bounced_transactions,salary_credit_regularity,default
1001,2369110,563,0.27,729892,25.0,9,7,1314870.0,0.98,32,0.55,4,0.62,1
1002,2379084,717,0.11,1751591,13.0,5,2,2903007.0,0.58,7,0.75,1,0.6,0
1003,1842743,395,0.87,1686091,12.0,1,14,554280.0,0.55,24,0.78,2,0.29,1
1004,260268,387,0.46,710327,26.0,1,6,1945548.0,0.33,45,0.32,3,0.68,1
1005,882180,377,0.81,1707153,3.0,4,1,2212292.0,0.73,8,0.72,6,0.79,1
1006,2384489,587,0.32,201094,6.0,4,7,175993.0,0.11,33,0.66,4,,1
1007,1720006,419,0.16,1535255,21.0,6,9,1694089.0,0.14,56,0.96,4,0.53,0
1008,2153274,790,0.45,780031,9.0,1,5,2950501.0,0.64,22,0.93,2,0.1,0
1009,1286074,751,0.15,842154,6.0,6,5,1384410.0,0.41,4,0.79,3,0.87,1
1010,2422355,799,0.46,1781349,20.0,4,4,1344955.0,0.96,54,0.72,5,0.51,1
1011,1389911,464,0.83,917482,,5,3,,0.91,24,0.27,6,0.81,1
1012,428167,481,0.49,1601224,14.0,7,9,1591986.0,0.74,7,0.85,4,0.37,1
1013,2288242,768,0.57,1856684,3.0,9,5,286100.0,0.84,15,0.43,4,,1
1014,479365,306,0.18,1859858,22.0,3,8,63879.0,,53,0.27,5,0.04,1
1015,937201,629,0.09,529083,22.0,6,9,2680000.0,0.21,47,0.38,6,0.28,1
1016,1520455,450,0.14,1444316,,5,5,2048880.0,0.79,44,0.84,1,0.24,0
1017,1916891,384,0.56,1951740,23.0,9,10,2469606.0,0.29,51,0.15,1,0.56,1
1018,477069,446,0.13,1504089,19.0,1,9,724045.0,0.39,14,0.46,7,0.02,1
1019,1975573,680,0.37,118323,25.0,7,2,1045533.0,0.84,0,0.49,7,0.52,1
1020,941743,847,0.52,1384536,4.0,9,9,1285844.0,0.58,21,0.04,0,0.39,0
1021,253355,584,0.38,1663559,19.0,8,11,479280.0,0.87,2,0.2,2,0.58,1
1022,1412752,381,0.19,1511494,11.0,4,4,1556232.0,0.29,37,0.83,3,0.7,1
1023,2431931,813,0.28,468458,0.0,9,6,787600.0,0.65,53,0.83,4,,1
1024,1546025,822,0.84,1154417,27.0,3,6,307268.0,0.18,13,0.29,6,0.98,1
1025,1620485,685,0.62,440642,,5,6,2767544.0,,35,0.87,4,0.14,1
1026,1139436,770,0.47,248784,0.0,7,2,1363517.0,,17,0.77,7,0.43,1
1027,1457371,418,0.06,157096,4.0,2,7,1485619.0,0.63,46,0.42,0,0.42,1
1028,1067040,695,0.89,1191340,30.0,9,13,1838524.0,0.34,40,,6,0.42,1
1029,1698762,831,0.62,496790,21.0,0,6,,0.13,17,0.96,6,0.66,1
1030,2403882,560,0.32,660032,5.0,3,11,2651813.0,0.21,2,0.46,4,0.49,1
1031,2069486,555,0.8,864914,28.0,3,14,122026.0,0.66,9,0.24,2,0.52,1
1032,804811,525,0.27,1632035,20.0,0,1,927890.0,0.94,48,0.94,0,0.43,0
1033,677035,352,0.51,1723619,2.0,8,2,1281507.0,0.29,38,0.6,2,0.99,1
1034,798143,799,0.59,1590724,14.0,2,7,1768753.0,0.76,46,0.11,0,0.93,0
1035,1650942,805,0.24,1730989,4.0,4,1,,0.88,0,0.57,4,0.31,1
1036,215725,663,0.88,418226,27.0,5,1,735053.0,0.57,26,0.5,0,0.11,1
1037,234654,579,0.69,1102272,23.0,7,1,562167.0,,56,0.86,1,0.84,1
1038,1103277,457,0.52,176310,13.0,5,8,311741.0,0.83,26,0.53,6,1.0,1
1039,2104354,358,0.2,725673,17.0,2,4,956636.0,0.33,10,0.26,3,0.29,1
