gender,age,years_of_service,education_level,performance_score,team_size_managed,salary
0,39,17,2,74.21,37,82497
1,47,20,2,60.66,168,78701
0,55,26,2,66.88,115,89645
0,31,7,2,62.6,17,61360
0,57,24,1,61.16,241,99381
1,35,10,1,82.74,172,78718
0,52,24,2,75.36,299,90899
0,36,16,1,59.61,129,79442
0,29,5,2,83.49,95,71435
1,35,11,2,74.61,54,75018
0,44,17,2,82.19,269,90817
0,42,13,1,79.44,201,85229
0,37,14,1,57.57,4,71458
0,39,15,0,61.6,2,73620
1,45,19,1,81.21,47,86257
0,47,18,0,79.16,166,75498
1,46,22,1,69.69,436,84091
1,50,19,1,71.76,16,91322
1,36,12,1,89.16,90,90272
0,22,4,1,61.13,47,62363
1,46,17,0,78.21,350,90245
0,28,3,0,66.97,184,67087
1,30,6,2,66.73,182,84433
1,45,17,1,86.48,63,92571
1,22,0,0,82.38,53,64604
1,29,5,1,82.2,31,66192
1,45,16,2,89.58,5,78091
1,32,8,1,70.32,200,73713
1,38,10,1,80.23,167,73957
1,29,8,0,65.35,817,70263
0,56,25,0,74.86,569,94915
0,56,26,1,68.05,81,87017
1,54,27,1,71.45,146,103730
1,26,0,1,78.93,289,70977
1,49,22,2,57.73,189,85569
0,28,7,2,100.0,28,86079
1,30,3,1,54.91,59,61049
0,29,5,1,51.79,13,57360
0,33,9,2,87.37,308,87706
0,55,27,1,81.87,93,100585
0,54,23,1,79.36,25,86471
0,44,14,0,79.43,111,80787
1,45,19,0,69.82,96,80327
1,58,29,2,56.54,44,85288
1,56,27,2,71.14,12,98492
1,43,17,1,59.84,111,89009
1,48,19,1,84.63,73,81926
0,56,27,0,67.79,147,97021
1,22,0,0,57.62,73,54762
1,56,25,1,65.18,191,89028
0,58,32,1,76.19,80,99095
1,35,11,2,61.54,82,68162
0,24,0,1,57.67,209,59633
1,22,1,1,73.66,51,59653
0,26,1,2,73.67,14,64793
1,47,21,2,62.4,2,83688
1,35,12,1,62.93,140,73484
0,48,19,1,73.48,96,81266
0,30,8,1,48.28,121,62410
0,36,12,1,48.89,23,73073
0,36,12,1,59.22,14,74810
0,47,23,2,66.8,1,82762
0,34,9,0,74.66,43,74124
0,53,23,0,92.13,89,99885
0,53,23,0,82.86,49,84600
1,25,0,0,67.6,57,63566
1,51,23,2,69.71,234,87539
0,58,29,2,54.96,42,94560
1,44,18,1,69.72,72,79419
1,36,12,0,65.67,153,66606
1,50,22,1,74.84,50,81214
1,57,30,1,57.59,97,94487
0,34,9,0,77.79,198,77415
1,53,30,1,92.99,298,102355
0,28,6,1,68.37,15,71053
1,43,15,1,76.03,261,75111
1,49,19,1,80.35,67,87244
1,23,1,0,63.98,29,54628
0,27,3,1,73.36,61,62958
1,49,23,1,70.19,391,92803
0,49,22,1,71.47,67,84208
1,41,15,2,58.4,39,73987
0,51,21,1,70.37,100,92342
1,32,4,0,77.47,27,65426
0,49,20,0,91.77,7,95779
0,46,20,1,84.39,13,83798
1,54,26,0,100.0,13,103979
0,22,0,1,58.49,16,64914
1,48,21,2,83.08,14,77905
1,34,10,1,72.75,102,70860
1,24,0,1,100.0,20,73085
1,27,4,1,57.88,42,61568
1,29,5,1,57.4,227,67345
1,48,18,1,61.01,64,77523
1,30,7,2,38.14,110,61374
1,58,29,1,62.11,18,92834
1,54,27,2,58.61,21,96031
1,45,20,2,72.26,4,86990
1,36,8,0,75.13,18,74007
0,53,22,0,98.14,32,94102
